Insertion,time [s],iterations,energy [Wh]
5m,300,,"0,02"
10m,600,,"0,04"
15m,900,,"0,06"
20m,1200,,"0,09"
30m,1800,,"0,13"
45m,2700,,"0,20"
1h,3600,,"0,27"
,564,100.000,
,1128,200.000,
,1692,300.000,
,2256,400.000,
,2820,500.000,
,3384,600.000,
,3948,700.000,
